"created_date","agency","complaint_type","descriptor","borough","incident_zip","latitude","longitude","location_type","street_name","status","resolution_description"
"2026-03-22T22:08:19.000","DOT","Street Condition","Pothole","BROOKLYN","11208","40.67423324364069","-73.86176396770561",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T22:08:13.000","DOT","Street Condition","Pothole","BRONX","10462","40.84923865308044","-73.86920769795903",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:04:10.000","DOT","Sidewalk Condition","Pedestrian Ramp Defective","QUEENS","11355","40.7423427900768","-73.81540899668325","Sidewalk","58 AVENUE","In Progress",
"2026-03-22T22:03:20.000","DOT","Street Condition","Pothole","STATEN ISLAND","10301",,,,"SENECA AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:02:58.000","DOT","Street Condition","Pothole","STATEN ISLAND","10303",,,,"FOREST AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:59:00.000","DOT","Street Light Condition","Street Light Out","MANHATTAN","10001","40.744532273451554","-73.9888702675778",,,"Open",
"2026-03-22T21:58:35.000","DOT","Street Condition","Pothole","QUEENS","11435","40.70970983860853","-73.81341813450368",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T21:57:52.000","DPR","Damaged Tree","Tree Alive - in Poor Condition","BRONX","10470","40.90304365410817","-73.84954936671039","Street","EAST 241 STREET","In Progress",
"2026-03-22T21:56:05.000","DOT","Street Condition","Pothole","QUEENS","11377","40.75399198425718","-73.90030181847571",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:55:32.000","DPR","Root/Sewer/Sidewalk Condition","Trees and Sidewalks Program","QUEENS","11355","40.7423427900768","-73.81540899668325","Street","58 AVENUE","In Progress",
"2026-03-22T21:55:04.000","DOT","Street Condition","Pothole","QUEENS","11377",,,,"NORTHERN BOULEVARD","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:54:56.000","DOT","Street Condition","Pothole","QUEENS","11354",,,,"NORTHERN BOULEVARD","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T21:54:55.000","DOT","Street Condition","Pothole","QUEENS","11434",,,,"158 STREET","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T21:54:33.000","DOT","Street Condition","Cave-in","BROOKLYN","11223","40.605358153344824","-73.96173216462414","Street","AVENUE R","In Progress",
"2026-03-22T21:53:09.000","DPR","Root/Sewer/Sidewalk Condition","Trees and Sidewalks Program","QUEENS","11375","40.72152745767019","-73.85218143346839","Street","BURNS STREET","In Progress",
"2026-03-22T21:49:03.000","DOT","Street Condition","Cave-in","BROOKLYN","11210","40.61767830687418","-73.94514507358106","Street","NOSTRAND AVENUE","In Progress",
"2026-03-22T21:48:19.000","DOT","Street Condition","Line/Marking - Faded","BROOKLYN","11211","40.698532019427276","-73.96022170883907","Crosswalk","KENT AVENUE","In Progress",
"2026-03-22T21:45:56.000","DOT","Street Condition","Failed Street Repair","BROOKLYN","11234","40.60954254952827","-73.91357682531245","Street","EAST 57 PLACE","In Progress",
"2026-03-22T21:45:36.000","DOT","Street Condition","Pothole","QUEENS","11357",,,,"150 STREET","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:43:00.000","DOT","Street Light Condition","Street Light Out","BROOKLYN","11234","40.62440818331207","-73.92940439740083",,"EAST   48 STREET","Open",
"2026-03-22T21:42:00.000","DEP","Water System","Excessive Water In Basement (WEFB)","QUEENS","11429","40.71191172540974","-73.75003148019108",,"BELLAIRE PLACE","Open",
"2026-03-22T21:42:00.000","DOT","Street Light Condition","Street Light Out","QUEENS","11413","40.6614662429789","-73.744183172168",,"BROOKVILLE PARK","Open",
"2026-03-22T21:39:15.000","DSNY","Missed Collection","Recycling - Paper/Metal/Glass/Rigid Plastic","BROOKLYN","11212","40.67193226935725","-73.9074360846706","Street","MOTHER GASTON BOULEVARD","In Progress",
"2026-03-22T21:37:06.000","DOT","Street Condition","Pothole","BROOKLYN","11236",,,,"EAST   89 STREET","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:36:01.000","DPR","Damaged Tree","Entire Tree Has Fallen Down","QUEENS","11412","40.70428175000032","-73.76059525453849","Street","196 STREET","In Progress","NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap."
